Customer_ID,Name,Age,Gender,Department,Monthly_Income,City,Customer_Type,Latitude,Longitude,Purchase_Amount,Feedback
1630,Aarav Jadhav,36.0,Female,Finance,110390.0,Ahmednagar,New,17.536043,75.505984,62663.45,Good
1789,Neha Sharma,32.0,Female,Operations,39371.0,Ahmednagar,Regular,20.073236,75.947597,31790.01,Excellent
1685,Amit Joshi,53.0,Male,Marketing,38204.0,Kolhapur,New,20.852464,75.52174,91180.51,Average
1517,Amit Deshmukh,33.0,Female,Data Analytics,50382.0,Nagpur,Premium,20.430885,77.862365,1535.62,Average
1530,Rahul Pawar,58.0,Female,Operations,70249.0,Aurangabad,New,17.555342,73.493211,26105.84,Good
1658,Meera Deshmukh,20.0,Female,IT,100830.0,Pune,New,20.350474,77.53826,48388.21,Good
1553,Sahil Deshmukh,47.0,Male,Operations,97557.0,Nagpur,Premium,17.17557,74.113904,31360.94,Poor
1532,Rahul More,53.0,Female,IT,32625.0,Nashik,New,21.410931,73.847627,60632.0,Excellent
1322,Isha Pawar,47.0,Female,Marketing,17014.0,Thane,Regular,20.462318,76.650566,88415.84,Good
1071,Nikhil Chavan,43.0,Female,Data Analytics,82193.0,Aurangabad,Regular,17.333136,77.205317,30187.15,Poor
1838,Riya Chavan,42.0,Male,Finance,47396.0,Mumbai,Regular,21.108487,77.386472,86819.6,Good
1454,Aarav Jadhav,46.0,Male,Operations,113326.0,Nagpur,New,17.700401,78.234176,12184.18,Poor
1997,Sakshi Shinde,40.0,Female,Operations,27616.0,Kolhapur,New,20.125369,75.286457,33914.75,Very Good
1669,Sneha Deshmukh,,Male,Marketing,84041.0,Thane,Premium,20.278822,74.134987,53853.15,Excellent
1248,Sahil Kulkarni,31.0,Female,Marketing,118033.0,Mumbai,Regular,17.80485,74.0679,83224.04,Good
1614,Sahil Pawar,48.0,Male,HR,94349.0,Kolhapur,Premium,19.438294,76.091293,22839.98,Poor
1845,Rahul Chavan,33.0,Female,Marketing,27315.0,Mumbai,Regular,17.088711,79.183369,7282.1,Very Good
1705,Riya Kulkarni,34.0,Female,Sales,55352.0,Aurangabad,Premium,20.436079,76.346755,11047.98,Poor
1299,Riya Joshi,29.0,Male,IT,82608.0,Mumbai,Regular,21.290164,73.931988,40505.77,Poor
1102,Pooja Patil,53.0,Male,HR,115596.0,Ahmednagar,New,19.076846,76.759282,75430.34,Good
1903,Karan Jadhav,38.0,Female,IT,59357.0,Mumbai,Regular,19.791272,79.932028,11875.48,Excellent
1920,Anjali Deshmukh,22.0,Male,Operations,118358.0,Kolhapur,Regular,19.139509,73.017336,42580.57,Average
1214,Karan Jadhav,57.0,Male,Finance,67095.0,Pune,Premium,18.423451,75.128952,35723.14,Very Good
1238,Anjali Joshi,27.0,Female,HR,113017.0,Thane,Regular,16.900473,79.80167,67864.79,Very Good
1596,Meera Deshmukh,31.0,Female,Marketing,98962.0,Aurangabad,Regular,17.659529,79.877791,4930.32,Very Good
1282,Rahul Jadhav,36.0,Male,Sales,93311.0,Aurangabad,New,18.467471,74.477373,63302.06,Very Good
1871,Riya Shinde,57.0,Female,Data Analytics,29801.0,Pune,Regular,19.682301,,87802.16,Average
1287,Pooja More,23.0,Male,Finance,79797.0,Pune,Regular,16.61485,77.172658,51795.14,Average
1923,Anjali Kulkarni,26.0,Female,Marketing,60523.0,Aurangabad,New,21.398931,78.443743,14602.92,Poor
1888,Priya More,26.0,Female,Operations,117691.0,Thane,Regular,16.62402,79.158833,47114.63,Average
1465,Riya Kulkarni,52.0,Female,Finance,60519.0,Mumbai,Regular,20.505502,76.201564,6548.94,Very Good
1797,Priya Deshmukh,42.0,Female,IT,16075.0,Nashik,Premium,19.363829,74.200587,50466.62,Good
1097,Karan Sharma,21.0,Female,Sales,68840.0,Nagpur,Regular,17.999545,76.638055,4394.74,Good
1245,Anjali Pawar,59.0,Male,HR,43109.0,Nashik,New,21.092731,73.894276,12906.81,Average
1890,Aarav Deshmukh,38.0,Female,Finance,77294.0,Aurangabad,Premium,20.357976,80.397757,81919.83,Very Good
1077,Nikhil Sharma,40.0,Female,Finance,48850.0,Nagpur,Premium,16.876606,78.331191,40830.39,Excellent
1902,Akash Sharma,33.0,Female,Marketing,96087.0,Kolhapur,Regular,16.59332,72.733774,74257.83,Excellent
1210,Sahil Deshmukh,,Male,IT,62925.0,Pune,Regular,16.773362,79.316069,67982.41,Average
1260,Sahil More,21.0,Male,HR,15693.0,Thane,New,16.515379,75.478802,45140.88,Average
1159,Anjali Kulkarni,55.0,Female,Finance,78192.0,Kolhapur,Regular,17.989896,75.924846,96419.76,Excellent
1740,Amit More,32.0,Female,Marketing,72292.0,Mumbai,Premium,20.635018,79.871748,23117.83,Average
1433,Sahil Patil,31.0,Female,Marketing,101956.0,Mumbai,Premium,19.641784,76.137309,81832.21,Poor
1332,Sakshi Shinde,57.0,Female,IT,60625.0,Pune,Premium,20.857217,72.697746,95990.04,Very Good
1957,Sahil Patil,54.0,Female,Data Analytics,35319.0,Ahmednagar,Regular,19.270376,79.029184,73446.1,Excellent
1315,Karan Pawar,50.0,Female,Data Analytics,61285.0,Nagpur,Premium,18.656543,75.516664,27313.43,Poor
1295,Aarav Shinde,29.0,Male,Sales,19405.0,Nashik,Premium,16.748915,79.559377,30185.89,Average
1383,Vikas Jadhav,41.0,Female,Sales,106904.0,Mumbai,Premium,21.250253,80.035438,15047.81,Good
1389,Kavya Jadhav,31.0,Female,Sales,82699.0,Nashik,Premium,16.772836,79.490002,70165.81,
1576,Karan More,56.0,Female,IT,85574.0,Aurangabad,New,17.713148,75.923042,93890.54,Poor
1880,Pooja Shinde,57.0,Male,Operations,91637.0,Nashik,New,21.001222,78.195536,10977.15,Very Good
1443,Sahil Patil,48.0,Female,Operations,56342.0,Kolhapur,New,20.485167,75.611943,15790.4,Poor
1722,Anjali Sharma,43.0,Female,Finance,79478.0,Nagpur,New,18.670361,79.579997,72394.46,Poor
1060,Riya Shinde,38.0,Male,Sales,99837.0,Thane,premium,16.611182,80.374108,90893.61,Very Good
1679,Meera Deshmukh,48.0,Female,Marketing,50705.0,Ahmednagar,New,17.526931,80.241806,20726.33,Excellent
1371,Kavya Joshi,25.0,Male,Operations,75387.0,Mumbai,New,17.905003,74.320628,78380.33,Average
1483,,35.0,Male,IT,28205.0,Thane,New,16.964737,73.264273,92898.42,Average
1382,Isha Kulkarni,56.0,Male,Data Analytics,103724.0,Nashik,Premium,18.956374,75.930344,19621.65,Poor
1055,Isha Pawar,44.0,Male,Operations,77759.0,Thane,Regular,18.612365,72.794368,44789.27,Good
1024,Sneha More,28.0,Male,Operations,60224.0,Thane,Regular,16.778686,75.642329,78657.18,Very Good
1031,Pooja Patil,,Female,Data Analytics,33214.0,Aurangabad,New,16.80712,76.061414,35880.59,Poor
1881,Riya Chavan,42.0,Male,Operations,30682.0,Nashik,Premium,18.194989,79.45887,,Very Good
1431,Priya Pawar,34.0,Female,Operations,25287.0,Kolhapur,Premium,20.038533,74.828844,96848.85,Very Good
1011,Akash Joshi,49.0,Male,IT,100678.0,Kolhapur,Regular,20.923501,74.184991,30755.36,Good
1657,Sakshi Shinde,51.0,Female,Data Analytics,26050.0,Thane,New,20.34687,73.968364,49673.54,Average
1814,Neha Pawar,18.0,Female,Data Analytics,19159.0,Aurangabad,Regular,19.884112,76.381555,99344.95,Excellent
1484,Anjali Joshi,30.0,Female,IT,57655.0,Nagpur,New,19.066707,78.089158,51523.17,Very Good
1544,Sakshi More,37.0,Male,HR,21253.0,Pune,Regular,20.129557,76.682996,48161.19,Excellent
1200,Riya Shinde,38.0,Male,Data Analytics,28970.0,Nashik,Regular,20.421366,75.250529,68822.51,Average
1502,Amit Shinde,43.0,Female,Data Analytics,106843.0,Thane,Premium,19.342678,75.780769,98958.86,Good
1941,Isha Kulkarni,52.0,Male,Data Analytics,106362.0,Nashik,Premium ,20.997508,78.395343,78493.81,Good
1108,Amit Shinde,53.0,Female,Data Analytics,36983.0,Nashik,Regular,17.432695,80.422117,97721.76,Good
1219,Sneha Jadhav,53.0,Male,Marketing,117732.0,Kolhapur,Regular,19.174553,79.859629,71987.45,Poor
1926,Isha Kulkarni,33.0,Female,Data Analytics,40292.0,Ahmednagar,New,17.413345,78.780655,87440.7,Very Good
1175,Sneha Patil,58.0,Male,Operations,45475.0,Nagpur,Regular,19.126301,75.34313,95202.39,Excellent
1724,Sakshi Sharma,42.0,Female,IT,77530.0,Kolhapur,Premium,16.685469,73.49582,64662.29,Good
1882,Rahul Joshi,39.0,Female,Operations,66879.0,Pune,New,16.729099,79.509872,57228.31,Very Good
